Base ID,Base,,Item,Quantity,Type,Have,Notes
2,Registration,"Standard registration for teams. Scouts must present their team list, the lanyards they have pre-made and all the consent forms. ",Consent Forms,8,Scout,FALSE,
2,Registration,"Standard registration for teams. Scouts must present their team list, the lanyards they have pre-made and all the consent forms. ",Team Register,1,Scout,FALSE,
2,Registration,"Standard registration for teams. Scouts must present their team list, the lanyards they have pre-made and all the consent forms. ",Table,4,Staff,TRUE,
2,Registration,"Standard registration for teams. Scouts must present their team list, the lanyards they have pre-made and all the consent forms. ",Chairs,8,Staff,TRUE,
5,Water Purification,"Scouts must construct a standard water filter with a 2L plastic bottle. This water filter must contain charcoal, rocks, sand and cotton wool.","Plastic Water Bottle, 2L",1,Scout,FALSE,
5,Water Purification,"Scouts must construct a standard water filter with a 2L plastic bottle. This water filter must contain charcoal, rocks, sand and cotton wool.",Cotton Wool,1,Scout,FALSE,
5,Water Purification,"Scouts must construct a standard water filter with a 2L plastic bottle. This water filter must contain charcoal, rocks, sand and cotton wool.",Things to make a water filter with,1,Scout,FALSE,
5,Water Purification,"Scouts must construct a standard water filter with a 2L plastic bottle. This water filter must contain charcoal, rocks, sand and cotton wool.",Bin,2,Staff,TRUE,For Rubbish
6,Compass Rose,The scout must draw a 16-point compass rose,Pen,1,Scout,FALSE,
6,Compass Rose,The scout must draw a 16-point compass rose,Notepad,1,Scout,FALSE,
6,Compass Rose,The scout must draw a 16-point compass rose,Ruler,1,Scout,FALSE,
6,Compass Rose,The scout must draw a 16-point compass rose,Clipboard,1,Scout,FALSE,
7,Magnetic Declination,"A scout is shown 3 items that they must take bearings of. They must report these bearings as True North bearings. They are then asked to orientate their compass to two bearings, given to them as True North. They must describe what the compass is pointing to.",Clipboard,1,Scout,FALSE,
7,Magnetic Declination,"A scout is shown 3 items that they must take bearings of. They must report these bearings as True North bearings. They are then asked to orientate their compass to two bearings, given to them as True North. They must describe what the compass is pointing to.",Compass,1,Scout,FALSE,
7,Magnetic Declination,"A scout is shown 3 items that they must take bearings of. They must report these bearings as True North bearings. They are then asked to orientate their compass to two bearings, given to them as True North. They must describe what the compass is pointing to.",Pen,1,Scout,FALSE,
7,Magnetic Declination,"A scout is shown 3 items that they must take bearings of. They must report these bearings as True North bearings. They are then asked to orientate their compass to two bearings, given to them as True North. They must describe what the compass is pointing to.",Notepad,1,Scout,FALSE,
8,Spanish Windlass,Scouts must construct a spanish windlass to move a bench a certain distance. They must also explain the safety precautions necessary when making use of a spanish windlass,Bench and Table,4,Staff,TRUE,
8,Spanish Windlass,Scouts must construct a spanish windlass to move a bench a certain distance. They must also explain the safety precautions necessary when making use of a spanish windlass,Thick long rope,4,Staff,TRUE,
8,Spanish Windlass,Scouts must construct a spanish windlass to move a bench a certain distance. They must also explain the safety precautions necessary when making use of a spanish windlass,Staves,2,Scout,FALSE,
10,First Aid Carry + Fracture,"Upon arrival, scouts are told that the P8 has fractured their leg and can no longer walk. They must treat the injury and then transport the scout - by means of a carry - to a location determined by the staff",First Aid Kit,1,Scout,FALSE,
